question,answer,type,source_id
Who is the maternal grandfather of Adam Coleman Howard?,Jules Lederer,inference,328
"Which film has the director born later, Under The Lantern or Darling Of The Gods?",Under The Lantern,bridge_comparison,329
"Which film has the director who was born first, Slim Carter or Thendral Veesum?",Thendral Veesum,bridge_comparison,330
"Which film has the director who died first, A Dream Or Two Ago or Why Leave Home??",A Dream Or Two Ago,bridge_comparison,331
Where did the director of film Vestire Gli Ignudi die?,Paris,compositional,332
"Which film has the director died earlier, John Jaffer Janardhanan or Kamakalawa?",Kamakalawa,bridge_comparison,333
"Which film has the director died earlier, The Story Of Anastasia or A Mother Of Men?",A Mother Of Men,bridge_comparison,334
"Which film was released more recently, Occupation: Dreamland or Ganga Bhavani?",Occupation: Dreamland,comparison,335
Who is Frederick Of Luxembourg's paternal grandfather?,Wigeric of Lotharingia,inference,336
Who is the father of the director of film Mirage (1972 Film)?,Daniel Alomía Robles,compositional,337
Where did Claudio Silva (Computer Scientist)'s wife graduate from?,Stony Brook University,compositional,338
"Which film has the director born first, Spione or Five Million Look For An Heir?",Five Million Look For An Heir,bridge_comparison,339
"Which film was released earlier, Man'S Search For Happiness or Tell It To The Bees?",Man'S Search For Happiness,comparison,340
"Which film has the director born first, La Mazurka Del Barone, Della Santa E Del Fico Fiorone or Safe (2012 Film)?","La Mazurka Del Barone, Della Santa E Del Fico Fiorone",bridge_comparison,341
"Who lived longer, Antonio Caggiano or Hardyal Singh?",Antonio Caggiano,comparison,342
What is the place of birth of the director of film A Woman'S Face (1938 Film)?,Helsingfors,compositional,343
Where did the composer of film The Merry Monahans die?,Studio City,compositional,344
"Which school was opened first, Chopasni Senior Secondary School, Jodhpur or Tunku Putra School?","Chopasni Senior Secondary School, Jodhpur",comparison,345
"Who is Richard Burke, 4Th Earl Of Clanricarde's paternal grandfather?","Richard Burke, 2nd Earl of Clanricarde",inference,346
"Which film has the director who was born earlier, Retalhos Da Vida De Um Médico or The Shooting?",Retalhos Da Vida De Um Médico,bridge_comparison,347
Are Blurt (Magazine) and Maui Nō Ka ʻOi Magazine from the same country?,yes,comparison,348
Who is the paternal grandfather of John Ii Of Baden?,"Bernard I, Margrave of Baden-Baden",inference,349
"Which film came out first, Ami Neta Hobo or Hood Of The Living Dead?",Hood Of The Living Dead,comparison,350
"Which film has the director who was born earlier, Buffet Froid or Lost In Africa?",Buffet Froid,bridge_comparison,351
Who is the spouse of the director of film My Three Merry Widows?,Mapy Cortés,compositional,352
Where did Meritaten's father die?,Akhetaten,compositional,353
Who is the paternal grandmother of Edward I Of England?,Isabella of Angoulême,inference,354
Who is the paternal grandfather of Guy Le Strange?,Henry Styleman,inference,355
Who is Germaine Of Foix's paternal grandfather?,Gaston IV of Foix,inference,356
"Which film has the director who died earlier, Gold For The Caesars or Heinz In The Moon?",Heinz In The Moon,bridge_comparison,357
"Which film has the director born later, Monsieur Taxi or A Yiddish World Remembered?",A Yiddish World Remembered,bridge_comparison,358
What is the date of death of the director of film Escándalo De Estrellas?,"August 7, 2004",compositional,359
"Which film has the director born first, Trouble With Jolanthe or Children Of Fortune?",Trouble With Jolanthe,bridge_comparison,360
Where was the composer of film Terror In The Aisles born?,California,compositional,361
"Which film whose director is younger, Roland The Mighty or Graves Without A Name?",Graves Without A Name,bridge_comparison,362
"What is the cause of death of performer of song Oh Boy, Oh Boy, Oh Boy!?",laryngeal cancer,compositional,363
"Which film has the director who is older, When You'Re Strange or Vzdušné Torpédo 48?",Vzdušné Torpédo 48,bridge_comparison,364
"What nationality is Beatrice I, Countess Of Burgundy's husband?",Germany,compositional,365
"Which film was released first, Taxi Zum Klo or Saajan Bina Suhagan?",Saajan Bina Suhagan,comparison,366
"Which film has the director born first, Şaban, Son Of Şaban or East/West?","Şaban, Son Of Şaban",bridge_comparison,367
Where did George Lane-Fox (Mp)'s father study?,"Christ's College, Cambridge",compositional,368
"Which film has the director born first, Stella'S Oorlog or Don Juan In A Girls' School?",Don Juan In A Girls' School,bridge_comparison,369
Where was the place of death of Christiane Vulpius's husband?,Weimar,compositional,370
"Which film has the director died earlier, Dialogues Of Exiles or Rhythm And Weep?",Rhythm And Weep,bridge_comparison,371
"Which film came out first, My Wife'S Lodger or Ko 2?",My Wife'S Lodger,comparison,372
"Which film has the director born later, Allos Gia To Ekatommyrio or Elvira'S Haunted Hills?",Elvira'S Haunted Hills,bridge_comparison,373
Who is the uncle of Catherine Allégret?,Marc Allégret,inference,374
Who is the paternal grandfather of George De Salis?,"Jerome, 4th Count de Salis-Soglio",inference,375
What is the date of death of Catherine Of Guelders's father?,23 February 1473,compositional,376
Who is the father of the composer of song I Miss You (Miley Cyrus Song)?,Billy Ray Cyrus,compositional,377
What is the place of birth of the director of film Operation Secret?,New York,compositional,378
Who was born first out of Alexey Volkonsky and Wanderley Oliveira?,Wanderley Oliveira,comparison,379
Where did Bianca Riario's father die?,Forlì,compositional,380
Where was the director of film Bollywood Calling born?,Hyderabad,compositional,381
"Are Doboy Railway Station and Adamstown Railway Station, New South Wales located in the same country?",yes,comparison,382
"Which film has the director born earlier, Idols Of The Radio or Solos En La Madrugada?",Idols Of The Radio,bridge_comparison,383
Who is the mother of the performer of song Feel Good (Robin Thicke Song)?,Gloria Loring,compositional,384
Where did Tamara Imeretinsky's father graduate from?,Lancing College,compositional,385
"Who died first, Louis-René De Caradeuc De La Chalotais or Hermann Friedrich Graebe?",Louis-René De Caradeuc De La Chalotais,comparison,386
Where was the place of death of James Adam (Architect)'s father?,Edinburgh,compositional,387
"Where did Edmund Tudor, 1St Earl Of Richmond's wife graduate from?",St John's College,compositional,388
"Which film was released more recently, Aami or Bitch Slap?",Aami,comparison,389
Who is Busba Kitiyakara's paternal grandfather?,Kitiyakara Voralaksana,inference,390
Who is the father of the director of film Ae Dil Hai Mushkil?,Yash Johar,compositional,391
Who was born first out of Ramsay Anderson and Fernand Fédronic?,Ramsay Anderson,comparison,392
Are the directors of films Scuola Di Ladri and Pensione Paura both from the same country?,yes,bridge_comparison,393
What is the place of birth of the director of film Dawn Of Life?,"San Juan, Puerto Rico",compositional,394
Where was the husband of Jeanne Raunay born?,Évreux,compositional,395
Are the directors of films The Edifying And Joyous Story Of Colinot and Cold Moon both from the same country?,yes,bridge_comparison,396
What is the place of birth of the performer of song Pluto (Song)?,Reykjavík,compositional,397
What is the place of birth of Princess Margaretha Of Saxony's mother?,Munich,compositional,398
Who is the spouse of the director of film West Of Shanghai?,Maureen O'Sullivan,compositional,399
Do director of film Jerry And Tom and director of film Kansas City Princess share the same nationality?,no,bridge_comparison,400
"Which film was released earlier, Amelie Or The Time To Love or Beginners?",Amelie Or The Time To Love,comparison,401
What is the cause of death of composer of song Look At Me (Xxxtentacion Song)?,shot,compositional,402
"Which film came out first, Natürlich Die Nelli or Cairo Declaration (Film)?",Natürlich Die Nelli,comparison,403
Who is Constantine Palaiologos (Son Of Andronikos Ii)'s maternal grandmother?,Elizabeth the Cuman,inference,404
"Where was the performer of song Lucky Me, Lucky You born?",Abilene,compositional,405
What is the place of birth of the creator of Miss Seventeen?,Tehran,compositional,406
Who is the mother of the director of film Brenda Brave?,Käbi Laretei,compositional,407
Where was the place of burial of Meritites I's husband?,Great Pyramid of Giza,compositional,408
Who is Wisigard's father-in-law?,Theuderic I,inference,409
Where was the place of death of Duchess Maria Dorothea Of Württemberg's father?,Kirchheim unter Teck,compositional,410
Where was the director of film The Pride Of Jennico (Film) born?,Colorado,compositional,411
Where was the director of film Gently My Songs Entreat born?,Viennese,compositional,412
What is the cause of death of Eleanor De Clare's husband?,"hanged, drawn and quartered",compositional,413
What is the cause of death of performer of song Voi Voi?,illness,compositional,414
"Which film has the director died first, Resan Till Dej or Rocking Moon?",Rocking Moon,bridge_comparison,415
"Which film has the director born later, Christ Walking On The Water or 45 Fathers?",45 Fathers,bridge_comparison,416
Are both directors of films Breslin And Hamill: Deadline Artists and Jean The Tenant from the same country?,yes,bridge_comparison,417
Are Bal Vidyalaya (Kota) and Loreto House both located in the same country?,yes,comparison,418
"When did Engelbert, Count Of Nevers's mother die?",21 June 1483,compositional,419
"Which film has the director died later, Excursion Train or Bad Day At Black Rock?",Bad Day At Black Rock,bridge_comparison,420
"Which film has the director who died later, Emanuelle And The Last Cannibals or Hostile Country?",Emanuelle And The Last Cannibals,bridge_comparison,421
"Which film has the director died later, Just Like A Woman (1939 Film) or Madigan'S Millions?",Madigan'S Millions,bridge_comparison,422
Why did the performer of song Ludlow Massacre (Song) die?,Huntington's disease,compositional,423
"Which film has the director who died later, Cooee And The Echo or Sweepings?",Sweepings,bridge_comparison,424
"Which film has the director born earlier, The Newest Pledge or Más Allá De La Aventura?",Más Allá De La Aventura,bridge_comparison,425
Where was the director of film Slingshot (Film) born?,"Suffield, Connecticut",compositional,426
"Which film has the director who was born first, I Come With The Rain or A Question Of Attribution?",A Question Of Attribution,bridge_comparison,427
"Are Coal City, Illinois and Lash Kenar, Nur both located in the same country?",no,comparison,428
Who is the mother of Olaf (Ii) Haraldsen?,Ragnild Magnusdotter,inference,429
What nationality is Florent Of Hainaut's mother?,Germany,compositional,430
Where was the director of film The Love Captive born?,Poznań,compositional,431
Are the directors of both films Der Blindgänger and Hotel Desire from the same country?,yes,bridge_comparison,432
Who is the spouse of the director of film Noc Nevěsty?,Alena Mihulová,compositional,433
"Which film has the director who died later, The Death Kiss or Her Luck In London?",Her Luck In London,bridge_comparison,434
"Which film whose director is younger, The Devil'S Pass Key or La Bella Di Lodi?",La Bella Di Lodi,bridge_comparison,435
Where did the composer of film Henry V (1944 Film) die?,Ischia,compositional,436
"Which film has the director who is older, Johnny Concho or One Minute To Twelve?",One Minute To Twelve,bridge_comparison,437
"Which album came out earlier, Was I The Wave? or Kingdom Of Rock?",Was I The Wave?,comparison,438
"Which film has the director born later, Cyclone Of The Saddle or Blind Corner?",Blind Corner,bridge_comparison,439
Where did the director of film The Gallant Lords Of Bois-Doré die?,Paris,compositional,440
"Which film came out earlier, It'S Our Life! or Maximum Ride (Film)?",It'S Our Life!,comparison,441
Where did the director of film The Boy Who Cried Werewolf (1973 Film) die?,Palos Verdes,compositional,442
Where was the director of film Los Motivos De Luz born?,France,compositional,443
Where was the performer of song Fast Car (Namie Amuro Song) born?,"Naha, Okinawa",compositional,444
"Who is Charles Gordon, 2Nd Earl Of Aboyne's paternal grandmother?",Lady Anne Campbell,inference,445
Where was the director of film En Aasai Rasave born?,Theni,compositional,446
Where was the director of film High (Film) born?,"Johannesburg, South Africa",compositional,447
Where was the place of death of Ginevra D'Este's husband?,Rimini,compositional,448
What is the place of birth of the director of film Tři Chlapi V Chalupě?,Prostějov,compositional,449
"Who died first, Olaf Everson or Abdul Wahab Khan Tarzi?",Abdul Wahab Khan Tarzi,comparison,450
"Which film has the director who died later, Good Morning, Little Countess or Vogue La Galère?",Vogue La Galère,bridge_comparison,451
"Who died later, Stephen De Staebler or Samuel Arthur Saunder?",Stephen De Staebler,comparison,452
Where was the husband of Esperanza Osmeña born?,Cebu,compositional,453
Where was the place of death of the director of film Scugnizzi?,Rome,compositional,454
"Which film has the director who was born later, The Daughter Of Rosie O'Grady or The Whistle (Film)?",The Daughter Of Rosie O'Grady,bridge_comparison,455
Do both films Happiness Of Three Women and Percy (1925 Film) have the directors from the same country?,yes,bridge_comparison,456
"Which film has the director who was born earlier, Invasion 1897 or Nene Raju Nene Mantri?",Nene Raju Nene Mantri,bridge_comparison,457
"Who did Joan Ramon Ii, Count Of Cardona marry?",Joana de Prades,inference,458
"Who is the paternal grandmother of Sudeley Hanbury-Tracy, 3Rd Baron Sudeley?",Henrietta Susanna Tracy,inference,459
"Which album was released more recently, The Arockalypse or Because The Internet?",Because The Internet,comparison,460
"Are the movies On A Clear Day You Can See Forever (Film) and Education Of A Prince, from the same country?",no,comparison,461
"Which film whose director is younger, Torments Of The Night or Dirty Dancing?",Dirty Dancing,bridge_comparison,462
Where did the director of film Music In Darkness die?,Fårö,compositional,463
Which country Aleksander Koniecpolski (1620–1659)'s father is from?,Polish-Lithuanian Commonwealth,compositional,464
"Who is Archibald Acheson, 4Th Earl Of Gosford's paternal grandfather?","Archibald Acheson, 2nd Earl of Gosford",inference,465
"Which film was released more recently, The First Seven Years or Cinesound Varieties?",Cinesound Varieties,comparison,466
"Where was the place of death of William De Warenne, 2Nd Earl Of Surrey's father?",Lewes,compositional,467
"What is the place of birth of the director of film I Love, You Love?",Bratislava,compositional,468
"Do director of film Coteau Rouge and director of film Hochelaga, Land Of Souls share the same nationality?",yes,bridge_comparison,469
Where did the director of film Don Juan (1922 Film) die?,Westerland,compositional,470
Where was the performer of song I See You (Theme From Avatar) born?,London,compositional,471
Who is the maternal grandmother of Archduchess Elisabeth Of Austria (1922–1993)?,Infanta Maria Antonia of Portugal,inference,472
"Which film was released more recently, Royal Treasure or When Love Begins?",Royal Treasure,comparison,473
"Who is Albert Iv, Prince Of Anhalt-Köthen's paternal grandfather?","Albert II, Prince of Anhalt-Zerbst",inference,474
"Which film has the director who was born later, Henry Goes Arizona or The Blue Collar Worker And The Hairdresser In A Whirl Of Sex And Politics?",The Blue Collar Worker And The Hairdresser In A Whirl Of Sex And Politics,bridge_comparison,475
Who is the father of the director of film Plunkett & Macleane?,Ridley Scott,compositional,476
"Who was born earlier, Ela Gandhi or Sebastián Borensztein?",Ela Gandhi,comparison,477
"Which film has the director who was born earlier, Red Sparrow or The Flying Liftboy?",The Flying Liftboy,bridge_comparison,478
"Which film was released first, The Cemetery Club or Uzhaikkum Karangal?",Uzhaikkum Karangal,comparison,479
Who is Wang Xijie's father-in-law?,Longqing,inference,480
What nationality is the director of film Rise Above: The Tribe 8 Documentary?,United States,compositional,481
Who was born first out of Overill Dwyer-Brown and Dragan Načevski?,Overill Dwyer-Brown,comparison,482
Which country the director of film I See You (2006 Film) is from?,India,compositional,483
Who is Colgú Mac Faílbe Flaind's uncle?,Fíngen mac Áedo Duib,inference,484
Which country Gilduin Of Le Puiset's father is from?,France,compositional,485
"Which film has the director who is older than the other, The Enchanted Desna or Neal Of The Navy?",Neal Of The Navy,bridge_comparison,486
"Which film has the director born later, Feel My Pulse or Panique?",Panique,bridge_comparison,487
"Which film has the director who was born first, Hanuman Patal Vijay or Young And Dangerous: The Prequel?",Hanuman Patal Vijay,bridge_comparison,488
"Which film was released first, Heaven Help Us or Ghar Ki Rani?",Ghar Ki Rani,comparison,489
"Which film has the director who died first, The Boss And The Worker or Claire'S Knee?",The Boss And The Worker,bridge_comparison,490
"Who lived longer, Louis-Armand-Constantin De Rohan or Adalberto Pereira Dos Santos?",Adalberto Pereira Dos Santos,comparison,491
Who is the mother-in-law of Gyrid Of Sweden?,Thyra,inference,492
Who is the maternal grandfather of Prince Dmitri Alexandrovich Of Russia?,Alexander III of Russia,inference,493
Where was the place of burial of the director of film The Last Company?,Forest Lawn Memorial Park,compositional,494
Do both films Fig Leaves and Boogeyman (Film) have the directors that share the same nationality?,no,bridge_comparison,495
"Which film has the director who is older, Road To Singapore or Melodies Of Vera Quarter?",Road To Singapore,bridge_comparison,496
Who is Prince Harald Of Schaumburg-Lippe's maternal grandfather?,Prince Harald of Denmark,inference,497
Where was the place of burial of Gjon Kastrioti Ii's father?,Lezhë,compositional,498
Who is Albert G. Simms's father-in-law?,Mark Hanna,inference,499
